Nama Fail,Baris,Nama Produk,Item ID,Member ID Match,Status API,Mesej API,Status Akhir,Pautan Ditemui,Pautan Sebenar (Resolved)
data_promo_list_03.xlsx,76,LEVANZO HOOD LCH 6120 KITCHEN HOODS,4732170502,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZKp?c=c&t=p-i5AFhig-sT1MGrZ,https://s.lazada.com.my/s.ZdbZKp?c=c&t=p-i5AFhig-sT1MGrZ
data_promo_list_03.xlsx,77,《SEDA》Sharp 2.0HP  J- Tech Inverter Air Conditioner with Super Jet Mode AH-X18BED,1306380166,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZKK?c=d&t=p-i1QPR9q-s4Mb8qh,https://s.lazada.com.my/s.ZdbZKK?c=d&t=p-i1QPR9q-s4Mb8qh
data_promo_list_03.xlsx,78,CUCKOO Electric Digital High Pressure 10 People Rice Cooker Korea,3830643143,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZKq?c=c&t=p-i4BEzGp-s2FXWhav,https://s.lazada.com.my/s.ZdbZKq?c=c&t=p-i4BEzGp-s2FXWhav
data_promo_list_03.xlsx,79,HYDRIXX Countertop Smart LED Water Purifier - Multi-Stages Ultrafiltration Halal Filter,4557793423,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZKJ?c=d&t=p-i4yS2H9-sS5ydjd,https://s.lazada.com.my/s.ZdbZKJ?c=d&t=p-i4yS2H9-sS5ydjd
data_promo_list_03.xlsx,80,"【NEW】UWANT V800 Cordless Auto-Empty Vacuum Cleaner | 320AW Powerful Suction, 100-Day Auto-Empty Station, VibraSweep No-Tangle Brush, Push-In All-in-One Dock, 150° Green Light Dust Detection, 90min Runtime, 12-Stage HEPA Filtration",14906451440,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZKr?c=c&t=p-iGGnwy8-s2FygYuy,https://s.lazada.com.my/s.ZdbZKr?c=c&t=p-iGGnwy8-s2FygYuy
data_promo_list_03.xlsx,81,(JAKIM HALAL) Pureal Hot & Ambient PPA2111 Drinking Water Dispenser,3793341454,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZKI?c=d&t=p-i48iTOg-sNupfzN,https://s.lazada.com.my/s.ZdbZKI?c=d&t=p-i48iTOg-sNupfzN
data_promo_list_03.xlsx,82,SHENGXUE | Automatic Sensing 3-in-1 Hand Dryer for Commercial Use,4762065165,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZKs?c=c&t=p-i5CH8gf-sTH88Bx,https://s.lazada.com.my/s.ZdbZKs?c=c&t=p-i5CH8gf-sTH88Bx
data_promo_list_03.xlsx,83,"[Built-in Wifi] Daikin FTKU Series (R32) Deluxe Inverter Aircond, FTKU28B (1HP), FTKU35B (1.5HP), FTKU50B (2HP), FTKU60B (2.5HP), FTKU71B (3HP)",2999917575,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZKH?c=c&t=p-i3H1LbL-sG8bJ98,https://s.lazada.com.my/s.ZdbZKH?c=c&t=p-i3H1LbL-sG8bJ98
data_promo_list_03.xlsx,84,Mini Commercial Hot Electric Steak Grill,14956001188,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZKt?c=c&t=p-iGK9r7c-s2GDWERI,https://s.lazada.com.my/s.ZdbZKt?c=c&t=p-iGK9r7c-s2GDWERI
data_promo_list_03.xlsx,85,Midea 10kg Inverter Heat Pump Clothes Dryers MD200H100WB Dryer,4359505024,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZKG?c=c&t=p-i4l22PA-sQjC4bP,https://s.lazada.com.my/s.ZdbZKG?c=c&t=p-i4l22PA-sQjC4bP
